fsetxattr(fd=27, name=0x7f7c6f3aa000, value=0x7f7c6f3aa001, size=8, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=311, name=0x7f7c6efaa000, value=0x7f7c6efaa000, size=0x17b000, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=311, name=0x7f7c6eba6000, value=0x7f7c6eba8000, size=-3, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=311, name=0x0, value=0x7f7c6edaa000, size=0xe9e0, flags=0x0) = -1 (Bad address)
fsetxattr(fd=311, name=0x7f7c6ebaa000, value=0x7f7c6ebaa001, size=155, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=20, name=0x8, value=0xc, size=4096, flags=0x0) = -1 (Bad address)
fsetxattr(fd=20, name=0x1, value=0x0, size=0, flags=0x0) = -1 (Bad address)
fsetxattr(fd=20, name=0x8, value=0xc, size=32, flags=0x0) = -1 (Bad address)
fsetxattr(fd=20, name=0x7f7c6eba9000, value=0x7f7c6eba9001, size=245, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=20, name=0x0, value=0x0, size=3860, flags=0x0) = -1 (Bad address)
fsetxattr(fd=407, name=0x7f7c6ebaa000, value=0x0, size=0, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=407, name=0x7f7c6f2aa000, value=0x7f7c6edaa000, size=1, flags=0x0) = -1 (Numerical result out of range)
fsetxattr(fd=407, name=0x7f7c6ebaa000, value=0x7f7c6ebaa008, size=0, flags=0x0) = -1 (Numerical result out of range)
