mq_timedsend(mqdes=30, u_msg_ptr=0x7f31aa3b7000, msg_len=134, msg_prio=64, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=30, u_msg_ptr=0x8, msg_len=4096, msg_prio=7838, u_abs_timeout=0x9) = -1 (Bad address)
mq_timedsend(mqdes=30, u_msg_ptr=0x0, msg_len=1, msg_prio=0x6000, u_abs_timeout=0x1) = -1 (Bad address)
mq_timedsend(mqdes=30, u_msg_ptr=0x7f31aa1b3000, msg_len=0, msg_prio=2825, u_abs_timeout=0x7f31aa8b7000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=409, u_msg_ptr=0x7f31aa9b7000, msg_len=8, msg_prio=32, u_abs_timeout=0x7f31aa9b7008) = -1 (Bad file descriptor)
mq_timedsend(mqdes=409, u_msg_ptr=0x8, msg_len=0x8000, msg_prio=4096, u_abs_timeout=0x0) = -1 (Bad file descriptor)
mq_timedsend(mqdes=409, u_msg_ptr=0x8, msg_len=4096, msg_prio=4832, u_abs_timeout=0x7f31aa1b2000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=385, u_msg_ptr=0x7f8d7b2d3000, msg_len=1, msg_prio=255, u_abs_timeout=0x7f8d7b2d3008) = -1 (Bad file descriptor)
mq_timedsend(mqdes=385, u_msg_ptr=0x8, msg_len=8, msg_prio=0x4ecb, u_abs_timeout=0x7f8d7d3de000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=385, u_msg_ptr=0x7f8d7b4d5000, msg_len=4, msg_prio=0x534f, u_abs_timeout=0x7f8d7b4d5001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=285, u_msg_ptr=0x4, msg_len=0, msg_prio=0x7ff6, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=15, u_msg_ptr=0x0, msg_len=8, msg_prio=254, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=289, u_msg_ptr=0x8, msg_len=0xd49000, msg_prio=107, u_abs_timeout=0x10) = -1 (Bad address)
mq_timedsend(mqdes=289, u_msg_ptr=0x4, msg_len=4, msg_prio=0x7979, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=289, u_msg_ptr=0x7f8d7d3dd000, msg_len=148, msg_prio=2048, u_abs_timeout=0x7f8d7d3dd001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=286, u_msg_ptr=0x8, msg_len=0xb0b0b, msg_prio=2, u_abs_timeout=0x7f8d7b2d5000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=381, u_msg_ptr=0x7f8d7b4d5000, msg_len=1, msg_prio=8, u_abs_timeout=0x7f8d7bad5000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=297, u_msg_ptr=0x4, msg_len=8, msg_prio=0x7501, u_abs_timeout=0x7f8d7b6d5000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=297, u_msg_ptr=0x7f8d7d3df000, msg_len=4, msg_prio=0x7fff, u_abs_timeout=0x7f8d7b6d5000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=297, u_msg_ptr=0x7f8d7b2d5000, msg_len=8, msg_prio=21, u_abs_timeout=0x7f8d7d3de000) = -1 (Bad file descriptor)
mq_timedsend(mqdes=297, u_msg_ptr=0x0, msg_len=1, msg_prio=0, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=283, u_msg_ptr=0x1, msg_len=4, msg_prio=0, u_abs_timeout=0x2) = -1 (Bad address)
mq_timedsend(mqdes=408, u_msg_ptr=0x7f8d7b4d5000, msg_len=0x933b6e, msg_prio=2048, u_abs_timeout=0x7f8d7b4d5001) = -1 (Bad file descriptor)
mq_timedsend(mqdes=288, u_msg_ptr=0x4, msg_len=8, msg_prio=0x5d99, u_abs_timeout=0x4) = -1 (Bad address)
mq_timedsend(mqdes=26, u_msg_ptr=0x4, msg_len=4, msg_prio=0x7ff6, u_abs_timeout=0xc) = -1 (Bad address)
mq_timedsend(mqdes=26, u_msg_ptr=0x8, msg_len=79, msg_prio=0x6000, u_abs_timeout=0xc) = -1 (Bad address)
